dt_referencia,nr_ano,nr_mes,desc_nome_mes,desc_nome_mes_curto,nr_dia,desc_dia_semana,desc_dia_semana_curto,nr_dia_semana_iso,desc_ano_mes,desc_trimestre,desc_ano_trimestre,nr_semana_ano,dt_inicio_mes,dt_inicio_semana,nr_dia_semana_visual
2015-02-07,2015,2,Fevereiro,Fev,7,Sábado,Sab,6,2015-02,T1,2015-T1,6,2015-02-01,2015-02-02,7
2015-02-08,2015,2,Fevereiro,Fev,8,Domingo,Dom,7,2015-02,T1,2015-T1,6,2015-02-01,2015-02-02,1
2015-02-09,2015,2,Fevereiro,Fev,9,Segunda-Feira,Seg,1,2015-02,T1,2015-T1,7,2015-02-01,2015-02-09,2
2015-02-10,2015,2,Fevereiro,Fev,10,Terça-Feira,Ter,2,2015-02,T1,2015-T1,7,2015-02-01,2015-02-09,3
2015-02-11,2015,2,Fevereiro,Fev,11,Quarta-Feira,Qua,3,2015-02,T1,2015-T1,7,2015-02-01,2015-02-09,4
2015-02-12,2015,2,Fevereiro,Fev,12,Quinta-Feira,Qui,4,2015-02,T1,2015-T1,7,2015-02-01,2015-02-09,5
2015-02-13,2015,2,Fevereiro,Fev,13,Sexta-Feira,Sex,5,2015-02,T1,2015-T1,7,2015-02-01,2015-02-09,6
2015-02-14,2015,2,Fevereiro,Fev,14,Sábado,Sab,6,2015-02,T1,2015-T1,7,2015-02-01,2015-02-09,7
2015-02-15,2015,2,Fevereiro,Fev,15,Domingo,Dom,7,2015-02,T1,2015-T1,7,2015-02-01,2015-02-09,1
2015-02-16,2015,2,Fevereiro,Fev,16,Segunda-Feira,Seg,1,2015-02,T1,2015-T1,8,2015-02-01,2015-02-16,2
2015-02-17,2015,2,Fevereiro,Fev,17,Terça-Feira,Ter,2,2015-02,T1,2015-T1,8,2015-02-01,2015-02-16,3
2015-02-18,2015,2,Fevereiro,Fev,18,Quarta-Feira,Qua,3,2015-02,T1,2015-T1,8,2015-02-01,2015-02-16,4
2015-02-19,2015,2,Fevereiro,Fev,19,Quinta-Feira,Qui,4,2015-02,T1,2015-T1,8,2015-02-01,2015-02-16,5
2015-02-20,2015,2,Fevereiro,Fev,20,Sexta-Feira,Sex,5,2015-02,T1,2015-T1,8,2015-02-01,2015-02-16,6
2015-02-21,2015,2,Fevereiro,Fev,21,Sábado,Sab,6,2015-02,T1,2015-T1,8,2015-02-01,2015-02-16,7
2015-02-22,2015,2,Fevereiro,Fev,22,Domingo,Dom,7,2015-02,T1,2015-T1,8,2015-02-01,2015-02-16,1
2015-02-23,2015,2,Fevereiro,Fev,23,Segunda-Feira,Seg,1,2015-02,T1,2015-T1,9,2015-02-01,2015-02-23,2
2015-02-24,2015,2,Fevereiro,Fev,24,Terça-Feira,Ter,2,2015-02,T1,2015-T1,9,2015-02-01,2015-02-23,3
2015-02-25,2015,2,Fevereiro,Fev,25,Quarta-Feira,Qua,3,2015-02,T1,2015-T1,9,2015-02-01,2015-02-23,4
